#,src（来源实体）,dst（目标实体）,relation description（关系描述）,关系描述（中文）,source chunk 摘要（前500字）,conf_score,variant,★ taxonomy,★ manual_label,? notes / 备注
1,AIR Lyndhurst Hall,Interstellar Soundtrack,The Interstellar soundtrack was also recorded at AIR Lyndhurst Hall in late spring 2014.,《星际穿越》原声带于2014年春末在AIR林德赫斯特音乐厅录制。,"concept of the film, though it had not yet been written. Zimmer was originally skeptical, noting that he had written a ""tiny, tiny little fragile"" piece while Nolan had described an intense, epic space film. However, Nolan reassured Zimmer that the piano piece provided ""the heart"" of the film. The piece can be heard at the conclusion of the film.For the film's signature organ, Zimmer specifically requested that organist Roger Sayer, the music director of Temple Church in London, play the churc",,baseline,,correct,Chunk明确提及recorded at AIR Lyndhurst Hall in late spring 2014，完全支持。
2,Alex Randolph,TwixT,Alex Randolph created the board game TwixT.,Alex Randolph 创作了棋盘游戏 TwixT。,"Passage 1: List of word board games This is a list of board games. See the article on game classification for other alternatives, or see Category:Board games for a list of board game articles. Single-player board games Some board games have solo variants, such as Arkham Horror and Agricola. Others are specifically designed for one player. Two-player abstract strategy games In abstract strategy games, players know the entire game state at all times, and random generators such as dice are not us",,baseline,,correct,Passage 4明确：Randolph's game creations include TwixT，关系正确。
3,Ashanti,Comet Award,Ashanti received a Comet Award in 2003.,Ashanti 于2003年获得彗星奖（Comet Award）。,"on Time"". ""What's Luv?"" and ""Always on Time"" were released simultaneously and became two of the biggest hit songs of 2002. Ashanti became the first female to occupy the top two positions on the U.S. Billboard Hot 100 chart simultaneously when ""Always on Time"" and ""What's Luv?"" were at numbers one and two, respectively. Following the success of her collaborations with Ja Rule and Fat Joe, Ashanti released her debut single, ""Foolish"", which contains a sample of the 1983 song ""Stay with Me"" by De",,baseline,A. unsupported_relation,wrong,Chunk全文为Ashanti的Billboard成就，未提及Comet Award，该关系无chunk支持。
4,Ashanti,The Inc. Records,"Ashanti was officially released from The Inc. Records in May 2009, ending her professional relationship with the label and Irv Gotti.",Ashanti 于2009年5月正式解除与The Inc. Records的合约，结束了与该厂牌及Irv Gotti的合作关系。,"on Time"". ""What's Luv?"" and ""Always on Time"" were released simultaneously and became two of the biggest hit songs of 2002. Ashanti became the first female to occupy the top two positions on the U.S. Billboard Hot 100 chart simultaneously when ""Always on Time"" and ""What's Luv?"" were at numbers one and two, respectively. Following the success of her collaborations with Ja Rule and Fat Joe, Ashanti released her debut single, ""Foolish"", which contains a sample of the 1983 song ""Stay with Me"" by De",,baseline,A. unsupported_relation,ambiguous,Chunk集中在Ashanti 2002年早期成就，未涵盖2009年合约解除，chunk不支持但事实本身正确。
5,Ashanti,Vibe Music Awards,"Ashanti premiered her single ""Only U"" at the 2004 Vibe Music Awards.",Ashanti 为专辑《Guilty Pleasure》创作了歌曲《The Way That I Love You》。,"on Time"". ""What's Luv?"" and ""Always on Time"" were released simultaneously and became two of the biggest hit songs of 2002. Ashanti became the first female to occupy the top two positions on the U.S. Billboard Hot 100 chart simultaneously when ""Always on Time"" and ""What's Luv?"" were at numbers one and two, respectively. Following the success of her collaborations with Ja Rule and Fat Joe, Ashanti released her debut single, ""Foolish"", which contains a sample of the 1983 song ""Stay with Me"" by De",,baseline,A. unsupported_relation,wrong,Chunk未提及Vibe Music Awards，关系无chunk支持。
6,Ashanti,Wonderful,"Ashanti performed on and helped create the song ""Wonderful"" in collaboration with Ja Rule and R. Kelly in 2004.",蓝光光盘（Blu-ray Disc）标准由蓝光光盘协会（BDA）开发。,"on Time"". ""What's Luv?"" and ""Always on Time"" were released simultaneously and became two of the biggest hit songs of 2002. Ashanti became the first female to occupy the top two positions on the U.S. Billboard Hot 100 chart simultaneously when ""Always on Time"" and ""What's Luv?"" were at numbers one and two, respectively. Following the success of her collaborations with Ja Rule and Fat Joe, Ashanti released her debut single, ""Foolish"", which contains a sample of the 1983 song ""Stay with Me"" by De",,baseline,A. unsupported_relation,ambiguous,Chunk提及Ja Rule合作但未明确提及歌曲Wonderful，无法直接支持此具体关系。
7,Bag-In-Box,Form Seal Fill Technology,Form Seal Fill technology is a manufacturing method used to produce Bag-In-Box packaging.,博士伦为隐形眼镜护理液污染事件道歉，并于2006年5月召回该产品。,Passage 1: The Police Serve the Citizens? La polizia 猫 al servizio del cittadino? (internationally released as The Police Serve the Citizens?) is a 1973 Italian giallo-poliziottesco film directed by Romolo Guerrieri. The film is set in Genova. Cast Enrico Maria Salerno: Commissioner Nicola Sironi Giuseppe Pambieri: Commissioner Marino John Steiner: Lambro Venantino Venantini: Mancinelli Alessandro Momo: Michele Sironi Memmo Carotenuto: Baron Marie Sophie Persson: Cristina Daniel G茅lin: Ing. Pi,,baseline,E. cross_chunk_hallucination,wrong,Chunk内容为1973年意大利电影，与Bag-In-Box包装技术毫无关联，典型跨chunk幻觉。
8,Balarama,Drona,Balarama succeeded Drona as the elephant tasked with carrying the Golden Howdah in the Mysore Dasara procession.,Brad Hall 曾为《周六夜现场》（Saturday Night Live）撰写剧本。,"Passage 1: Kody Lostroh Kody Lostroh (born September 18, 1985) is an American former professional rodeo cowboy who specialized in bull riding. He was the 2009 Professional Bull Riders (PBR) world champion. Background Kody Lostroh was born on September 18, 1985 in Longmont, Colorado. Lostroh watched a video of Cheyenne Frontier Days so many times that his mother Dena Schlutz signed him up to ride at the Boulder County Fair in 1993, when he was seven years old. He won a Little Britches Rodeo Nat",,baseline,E. cross_chunk_hallucination,wrong,Chunk为美国牛仔运动员Kody Lostroh传记，与Balarama大象及Mysore Dasara无关。
9,Baranya County,Kingdom of Hungary,The Baranya region was a county in the historical Kingdom of Hungary dating back to the 11th century.,专辑《Brain Salad Surgery》收录了歌曲《Karn Evil 9》。,"Passage 1: Baranya County Baranya (Hungarian: Baranya v谩rmegye, pronounced [藞b蓲r蓲刹蓲 藞va藧rm蓻蔁蓻]; German: Branau; Croatian: Baranjska 啪upanija) is a county (v谩rmegye) in southern Hungary. It is part of the Southern Transdanubia statistical region and the historical Baranya region, which was a county (comitatus) in the Kingdom of Hungary dating back to the 11th century. Its current status as one of the 19 counties of Hungary was established in 1950 as part of wider Soviet administrative territori",,baseline,,correct,Chunk第一段即Baranya County词条，明确支持county in the Kingdom of Hungary dating back to the 11th century。
10,Baranya County,Soviet Administrative Territorial Reform,Baranya County's current status as one of Hungary's 19 counties was established in 1950 as part of the post-WWII Soviet administrative territorial reform.,《星际迷航：深空九号》（DS9）第一季于1993年1月首播。,"Passage 1: Baranya County Baranya (Hungarian: Baranya v谩rmegye, pronounced [藞b蓲r蓲刹蓲 藞va藧rm蓻蔁蓻]; German: Branau; Croatian: Baranjska 啪upanija) is a county (v谩rmegye) in southern Hungary. It is part of the Southern Transdanubia statistical region and the historical Baranya region, which was a county (comitatus) in the Kingdom of Hungary dating back to the 11th century. Its current status as one of the 19 counties of Hungary was established in 1950 as part of wider Soviet administrative territori",,baseline,,correct,Chunk明确：established in 1950 as part of wider Soviet administrative territorial reform，完全支持。
11,Black Death,Great Famine,"The Black Death was the second great natural disaster in late medieval Europe, following the Great Famine of 1315-1317.",Castle Coole 是一座新古典主义风格的乡村别墅。,"Passage 1: Black Death The Black Death (also known as the Pestilence, the Great Mortality or the Plague) was a bubonic plague pandemic occurring in Western Eurasia and North Africa from 1346 to 1353. It is the most fatal pandemic recorded in human history, causing the deaths of 75鈥?00 million people, peaking in Europe from 1347 to 1351. Bubonic plague is caused by the bacterium Yersinia pestis spread by fleas, but during the Black Death it probably also took a secondary form, spread by person-",,baseline,A. unsupported_relation,ambiguous,Chunk未将黑死病定性为继大饥荒之后的第二次自然灾害，此特定叙述框架在chunk中无直接支持。
