variant,scope,src,dst,description,relation_key,graph_chunk_ids,tracking_chunk_ids,resolved_chunk_ids,src_anchor_score,dst_anchor_score,endpoint_anchor_score,cooccurrence_score,tracking_mismatch,missing_relation_tracking,missing_graph_source,weak_endpoint_binding,both_endpoints_missing,empty_resolved_source,source_excerpt
baseline,graph,Lyon Cohen,Warsaw Academy,"Lyon Cohen organized and lectured at the Academy of Jewish Sciences, part of the Warsaw Academy.",Lyon Cohen<SEP>Warsaw Academy,"[""chunk-4c9164e6f839a685d0d85c80ec6c479f""]","[""chunk-4c9164e6f839a685d0d85c80ec6c479f""]","[""chunk-4c9164e6f839a685d0d85c80ec6c479f""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"Passage 1:
Friedrich von Berg
Friedrich Wilhelm Bernhard von Berg, also von Berg-Markienen, (20 November 1866 – 9 March 1939) was a German politician and chairman of the Secret Civil Cabinet of Kaiser Wilhelm II in 1918.

Biography
Friedric"
baseline,graph,Hans Zimmer,Christopher Nolan,Hans Zimmer collaborated with director Christopher Nolan on the score for Interstellar.,Christopher Nolan<SEP>Hans Zimmer,"[""chunk-48dabdf899dc7290d08f6f3baecde983""]","[""chunk-48dabdf899dc7290d08f6f3baecde983""]","[""chunk-48dabdf899dc7290d08f6f3baecde983""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"concept of the film, though it had not yet been written. Zimmer was originally skeptical, noting that he had written a ""tiny, tiny little fragile"" piece while Nolan had described an intense, epic space film. However, Nolan reassured Zimmer "
baseline,graph,The Witch,Pyramids,The Witch glides upon the Nile where vapour-belted pyramids gleam amid the waters.,Pyramids<SEP>The Witch,"[""chunk-4a7b58f1da0ea7dca854ec217a6c7a63""]","[""chunk-4a7b58f1da0ea7dca854ec217a6c7a63""]","[""chunk-4a7b58f1da0ea7dca854ec217a6c7a63""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"harmonious sound
 Wandered upon the earth where'er she passed,                  _495
 And happy thoughts of hope, too sweet to last.

 57.
 But her choice sport was, in the hours of sleep,
 To glide adown old Nilus, where he threads
 Egypt "
baseline,graph,Lioness,Unspecified Character,A lioness finds an unspecified female character referred to as 'her'.,Lioness<SEP>Unspecified Character,"[""chunk-5ceefbb5fcf6c5381007925f70a659ff""]","[""chunk-5ceefbb5fcf6c5381007925f70a659ff""]","[""chunk-5ceefbb5fcf6c5381007925f70a659ff""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"a lioness found her. Tarzan eventually comes on Coy and Abel Banton, and in a roving battle, a ricochet from Coy's rifle kills Abel. A prolonged battle on rocks, on sand and underwater follows before Tarzan finally knocks Coy out. The film "
baseline,graph,PLM with L2 Regularization,L2 Regularization,"L2 regularization is the specific technique incorporated into the PLM method to create the ""PLM with L2 regularization"" variant.",L2 Regularization<SEP>PLM with L2 Regularization,"[""chunk-9cfd0b99801452f2366cc5d4c7dd7769""]","[""chunk-9cfd0b99801452f2366cc5d4c7dd7769""]","[""chunk-9cfd0b99801452f2366cc5d4c7dd7769""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"\section{Introduction}
Given a data set and a model with some unknown parameters, the inverse problem aims to find the values of the model parameters that best fit the data.  
In this work, in which we focus on systems of interacting elemen"
baseline,graph,Reconstruction Error (err_J),Phase Transition,"The Reconstruction Error is shown to rise sharply at low temperatures, near the model's Phase Transition temperature.",Phase Transition<SEP>Reconstruction Error (err_J),"[""chunk-6554f155cf4b05d0dcdb65622c17c839""]","[""chunk-6554f155cf4b05d0dcdb65622c17c839""]","[""chunk-6554f155cf4b05d0dcdb65622c17c839""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"\phantom{ + h_i^{I} }\label{eq:27}
   \end{eqnarray}
and $H_i= \sqrt{(H_i^x)^2 + (H_i^y)^2}$, $\alpha_i = \arctan H_i^y/H_i^x$   and we introduced the modified Bessel function of the first kind:
  \begin{equation}
  \nonumber
   I_k(x) = \f"
baseline,graph,George Mitchell,Bud Selig,Commissioner Bud Selig appointed former Senator George Mitchell to investigate the use of performance-enhancing drugs in MLB.,Bud Selig<SEP>George Mitchell,"[""chunk-ce6020d4fee0b4440f5e798273d00460""]","[""chunk-ce6020d4fee0b4440f5e798273d00460""]","[""chunk-ce6020d4fee0b4440f5e798273d00460""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"and away. Furthermore, each team has an interleague ""natural rival"" (in many cases its counterpart in the same metro area) with which it plays two home games and two away games each year.
With an odd number of teams in each league (15), it "
baseline,graph,G_min,Γ_s1,"For asymmetric coupling to the SC lead, the zero-temperature conductance is proportional to Γ_s1^2, generalized from the symmetric case.",G_min<SEP>Γ_s1,"[""chunk-f344bd28c7909e782eeb77a0ac017996""]","[""chunk-f344bd28c7909e782eeb77a0ac017996""]","[""chunk-f344bd28c7909e782eeb77a0ac017996""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"ishes $T^*$.
For the same values of $J^{\mathrm{eff}}$, the dependence of $G(T)$ for $t=0$ and $\GS{}>0$ is hardly different 
from the one for $\GS{}=0$ and $t>0$ for $T\geq T^*$ (results not shown).
However, $G(T)$ saturates at residual va"
baseline,graph,T*,Γ_sX,"For asymmetric coupling to the SC lead (x ≠ 0), the effective CAR coupling Γ_sX decreases, leading to a significant reduction in the second-stage Kondo temperature T*.",T*<SEP>Γ_sX,"[""chunk-f344bd28c7909e782eeb77a0ac017996""]","[""chunk-f344bd28c7909e782eeb77a0ac017996""]","[""chunk-f344bd28c7909e782eeb77a0ac017996""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"ishes $T^*$.
For the same values of $J^{\mathrm{eff}}$, the dependence of $G(T)$ for $t=0$ and $\GS{}>0$ is hardly different 
from the one for $\GS{}=0$ and $t>0$ for $T\geq T^*$ (results not shown).
However, $G(T)$ saturates at residual va"
baseline,graph,Γ_sX,C,"A reduced CAR efficiency factor C leads to a diminished effective CAR coupling Γ_sX, which shifts and suppresses the signatures of SC-induced two-stage Kondo screening.",C<SEP>Γ_sX,"[""chunk-f344bd28c7909e782eeb77a0ac017996""]","[""chunk-f344bd28c7909e782eeb77a0ac017996""]","[""chunk-f344bd28c7909e782eeb77a0ac017996""]",0.0,1.0,0.5,0.0,False,False,False,True,False,False,"ishes $T^*$.
For the same values of $J^{\mathrm{eff}}$, the dependence of $G(T)$ for $t=0$ and $\GS{}>0$ is hardly different 
from the one for $\GS{}=0$ and $t>0$ for $T\geq T^*$ (results not shown).
However, $G(T)$ saturates at residual va"
baseline,graph,Propaganda Detection System,Ensemble Strategy,"The system employs ensemble strategies to combine predictions from Logistic Regression, CNN, and BERT for the SLC task.",Ensemble Strategy<SEP>Propaganda Detection System,"[""chunk-5970d734ccb10451fc2aa2d2d5e77155""]","[""chunk-5970d734ccb10451fc2aa2d2d5e77155""]","[""chunk-5970d734ccb10451fc2aa2d2d5e77155""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"Introduction
In the age of information dissemination without quality control, it has enabled malicious users to spread misinformation via social media and aim individual users with propaganda campaigns to achieve political and financial gai"
baseline,graph,Rumbi Katedza,Zimbabwe Broadcasting Corporation Radio 3,Rumbi Katedza produced and presented radio shows on similar topics for ZBC Radio 3 in Zimbabwe from 1994 to 2000.,Rumbi Katedza<SEP>Zimbabwe Broadcasting Corporation Radio 3,"[""chunk-e4d3a3cee0eadaa62506b2679e965590""]","[""chunk-e4d3a3cee0eadaa62506b2679e965590""]","[""chunk-e4d3a3cee0eadaa62506b2679e965590""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"Passage 1:
Alex Cox
Alexander B. H. Cox (born 15 December 1954) is an English film director, screenwriter, actor, non-fiction author and broadcaster. Cox experienced success early in his career with Repo Man and Sid and Nancy, but since the"
baseline,graph,Queensland Cricket Team,Anonymous Cricketer,The unnamed cricketer top-scored against the Queensland cricket team as an opponent.,Anonymous Cricketer<SEP>Queensland Cricket Team,"[""chunk-e19b39106aac29303f72fd2e28f77d7a""]","[""chunk-e19b39106aac29303f72fd2e28f77d7a""]","[""chunk-e19b39106aac29303f72fd2e28f77d7a""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"1896–97, at the age of 47, he top-scored in each innings for a South Canterbury XVIII against the touring Queensland cricket team.
Passage 9:
Maximiliano Serrano
Maximiliano Serrano (born 5 August 1988) is an Argentine professional football"
baseline,graph,L'affaire est dans le sac,Artifact,"The French film ""L'affaire est dans le sac"" is known in English as ""It's in the Bag"".",Artifact<SEP>L'affaire est dans le sac,"[""chunk-2f271e7cbc21e003d8ef760748383dc6""]","[""chunk-2f271e7cbc21e003d8ef760748383dc6""]","[""chunk-2f271e7cbc21e003d8ef760748383dc6""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"Passage 1:
The Police Serve the Citizens?
La polizia è al servizio del cittadino? (internationally released as The Police Serve the Citizens?) is a 1973 Italian giallo-poliziottesco film directed by Romolo Guerrieri. The film is set in Geno"
baseline,graph,John Cabot,St. Johns,"St. John's, Newfoundland, has been proposed as a possible location for John Cabot's landfall.",John Cabot<SEP>St. Johns,"[""chunk-ac964b192eb7cda8495d85c89aea8be3""]","[""chunk-ac964b192eb7cda8495d85c89aea8be3""]","[""chunk-ac964b192eb7cda8495d85c89aea8be3""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"After sailing northwards along the coast he encountered and only narrowly avoided a group of shoals, subsequently called the Houtman Abrolhos.
De Houtman then made landfall in the region known as Eendrachtsland, which the explorer Dirk Hart"
baseline,graph,Carreño,Candas,Candas is the capital of the Carreño municipality.,Candas<SEP>Carreño,"[""chunk-10f887f61c9389e693152d9a69a2c696""]","[""chunk-10f887f61c9389e693152d9a69a2c696""]","[""chunk-10f887f61c9389e693152d9a69a2c696""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"is and Bedoya. It now serves as a centre for exhibitions and cultural events.
Other houses, the Casona de la Canal (18th century), the Torre de la Familia Osorio (17th century) and the 18th century San Marcial Street, bears the arms of the "
baseline,graph,Carreño,Gijon,Gijón borders Carreño to the east and south.,Carreño<SEP>Gijon,"[""chunk-10f887f61c9389e693152d9a69a2c696""]","[""chunk-10f887f61c9389e693152d9a69a2c696""]","[""chunk-10f887f61c9389e693152d9a69a2c696""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"is and Bedoya. It now serves as a centre for exhibitions and cultural events.
Other houses, the Casona de la Canal (18th century), the Torre de la Familia Osorio (17th century) and the 18th century San Marcial Street, bears the arms of the "
baseline,graph,Cat Stevens,Joseph (Biblical/Qur'anic Figure),"Cat Stevens identified with the story of Joseph from the Qur'an, feeling similarly ""bought and sold"" in the music business.",Cat Stevens<SEP>Joseph (Biblical/Qur'anic Figure),"[""chunk-ffcda6c4dff81aac5d62531943db04c8""]","[""chunk-ffcda6c4dff81aac5d62531943db04c8""]","[""chunk-ffcda6c4dff81aac5d62531943db04c8""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"for two years. What I write about Patti and my family... when I sing the songs now, I learn strange things. I learn the meanings of my songs late ...""
Having established a signature sound, Stevens enjoyed a string of successes in the follow"
baseline,graph,NPO 1 Extra,A Vrotros,NPO 1 Extra is a television channel jointly operated by the Dutch public broadcaster AVROTROS.,A Vrotros<SEP>NPO 1 Extra,"[""chunk-ad43ab4996d0710ac74eb1501a3b467d""]","[""chunk-ad43ab4996d0710ac74eb1501a3b467d""]","[""chunk-ad43ab4996d0710ac74eb1501a3b467d""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"Passage 1:
NPO Best
NPO 1 Extra is a television channel jointly operated by Dutch public broadcasters AVROTROS, BNNVARA, EO, KRO-NCRV and MAX. It was originally launched as HilversumBest on 1 December 2006. NPO 1 Extra presents highlights o"
baseline,graph,ER,Steven Spielberg,Steven Spielberg was attached to ER behind the scenes.,ER<SEP>Steven Spielberg,"[""chunk-d05c59fe3c514c26179343553b469fd3""]","[""chunk-d05c59fe3c514c26179343553b469fd3""]","[""chunk-d05c59fe3c514c26179343553b469fd3""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"in the former Linda Vista Hospital in Los Angeles, an old facility that had ceased operating in 1990. A set modeled after Los Angeles County General Hospital's emergency room was built soon afterward at the Warner Bros. studios in Burbank, "
